Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin,"$13,717.14"
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum,$381.30
Tether,USDT,https://coinmarketcap.com/currencies/tether,$1.00
XRP,XRP,https://coinmarketcap.com/currencies/xrp,$0.237157
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash,$240.19
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink,$10.28
Binance Coin,BNB,https://coinmarketcap.com/currencies/binance-coin,$26.50
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin,$52.78
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new,$3.93
USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin,$1.00
Cardano,ADA,https://coinmarketcap.com/currencies/cardano,$0.091691
Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv,$151.39
EOS,EOS,https://coinmarketcap.com/currencies/eos,$2.33
Monero,XMR,https://coinmarketcap.com/currencies/monero,$117.79
TRON,TRX,https://coinmarketcap.com/currencies/tron,$0.024147
Crypto.com Coin,CRO,https://coinmarketcap.com/currencies/crypto-com-coin,$0.077457
Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin,"$13,608.85"
Stellar,XLM,https://coinmarketcap.com/currencies/stellar,$0.073980
Tezos,XTZ,https://coinmarketcap.com/currencies/tezos,$1.87
UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo,$1.26
Neo,NEO,https://coinmarketcap.com/currencies/neo,$14.50
Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai,$1.01
Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos,$4.41
NEM,XEM,https://coinmarketcap.com/currencies/nem,$0.098323
Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin,$28.48
Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token,$3.55
Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd,$0.999900
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota,$0.239107
VeChain,VET,https://coinmarketcap.com/currencies/vechain,$0.009756
Dash,DASH,https://coinmarketcap.com/currencies/dash,$63.89
THETA,THETA,https://coinmarketcap.com/currencies/theta,$0.568585
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic,$4.78
Zcash,ZEC,https://coinmarketcap.com/currencies/zcash,$52.30
Maker,MKR,https://coinmarketcap.com/currencies/maker,$516.50
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap,$2.08
OMG Network,OMG,https://coinmarketcap.com/currencies/omg,$2.85
UMA,UMA,https://coinmarketcap.com/currencies/uma,$6.55
Compound,COMP,https://coinmarketcap.com/currencies/compound,$85.66
Celsius,CEL,https://coinmarketcap.com/currencies/celsius,$1.39
FTX Token,FTT,https://coinmarketcap.com/currencies/ftx-token,$3.45
Waves,WAVES,https://coinmarketcap.com/currencies/waves,$3.13
Ontology,ONT,https://coinmarketcap.com/currencies/ontology,$0.416554
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin,$0.002508
Aave,AAVE,https://coinmarketcap.com/currencies/aave,$27.87
yearn.finance,YFI,https://coinmarketcap.com/currencies/yearn-finance,"$9,496.37"
HUSD,HUSD,https://coinmarketcap.com/currencies/husd,$0.999778
BitTorrent,BTT,https://coinmarketcap.com/currencies/bittorrent,$0.000274
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token,$0.181311
Synthetix Network Token,SNX,https://coinmarketcap.com/currencies/synthetix-network-token,$2.50
DigiByte,DGB,https://coinmarketcap.com/currencies/digibyte,$0.018633
TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd,$0.999766
Algorand,ALGO,https://coinmarketcap.com/currencies/algorand,$0.231065
OKB,OKB,https://coinmarketcap.com/currencies/okb,$4.17
Paxos Standard,PAX,https://coinmarketcap.com/currencies/paxos-standard,$0.999532
0x,ZRX,https://coinmarketcap.com/currencies/0x,$0.322807
Kusama,KSM,https://coinmarketcap.com/currencies/kusama,$28.07
ABBC Coin,ABBC,https://coinmarketcap.com/currencies/abbc-coin,$0.322193
Ren,REN,https://coinmarketcap.com/currencies/ren,$0.252520
Celo,CELO,https://coinmarketcap.com/currencies/celo,$1.53
HedgeTrade,HEDG,https://coinmarketcap.com/currencies/hedgetrade,$0.547423
Ocean Protocol,OCEAN,https://coinmarketcap.com/currencies/ocean-protocol,$0.444047
ICON,ICX,https://coinmarketcap.com/currencies/icon,$0.316012
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa,$0.016970
Qtum,QTUM,https://coinmarketcap.com/currencies/qtum,$1.83
Hedera Hashgraph,HBAR,https://coinmarketcap.com/currencies/hedera-hashgraph,$0.028535
Energy Web Token,EWT,https://coinmarketcap.com/currencies/energy-web-token,$5.52
Quant,QNT,https://coinmarketcap.com/currencies/quant,$12.98
Augur,REP,https://coinmarketcap.com/currencies/augur,$13.37
Kyber Network,KNC,https://coinmarketcap.com/currencies/kyber-network,$0.736011
Loopring,LRC,https://coinmarketcap.com/currencies/loopring,$0.127389
Decred,DCR,https://coinmarketcap.com/currencies/decred,$11.77
The Midas Touch Gold,TMTG,https://coinmarketcap.com/currencies/the-midas-touch-gold,$0.020122
Lisk,LSK,https://coinmarketcap.com/currencies/lisk,$0.978495
Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold,$6.93
Revain,REV,https://coinmarketcap.com/currencies/revain,$0.010463
Ampleforth,AMPL,https://coinmarketcap.com/currencies/ampleforth,$1.09
ZB Token,ZB,https://coinmarketcap.com/currencies/zb-token,$0.246399
Aragon,ANT,https://coinmarketcap.com/currencies/aragon,$2.83
Terra,LUNA,https://coinmarketcap.com/currencies/terra-luna,$0.287790
Siacoin,SC,https://coinmarketcap.com/currencies/siacoin,$0.002447
NXM,NXM,https://coinmarketcap.com/currencies/nxm,$19.45
Elrond,EGLD,https://coinmarketcap.com/currencies/elrond-egld,$7.32
Blockstack,STX,https://coinmarketcap.com/currencies/blockstack,$0.152660
NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol,$0.564774
CyberVein,CVT,https://coinmarketcap.com/currencies/cybervein,$0.092627
Reserve Rights,RSR,https://coinmarketcap.com/currencies/reserve-rights,$0.010426
Nano,NANO,https://coinmarketcap.com/currencies/nano,$0.727664
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin,$0.115553
Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland,$0.062126
Nexo,NEXO,https://coinmarketcap.com/currencies/nexo,$0.162802
Numeraire,NMR,https://coinmarketcap.com/currencies/numeraire,$23.88
Band Protocol,BAND,https://coinmarketcap.com/currencies/band-protocol,$4.08
Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche,$3.36
Velas,VLX,https://coinmarketcap.com/currencies/velas,$0.038886
MonaCoin,MONA,https://coinmarketcap.com/currencies/monacoin,$1.23
Ravencoin,RVN,https://coinmarketcap.com/currencies/ravencoin,$0.010764
Bitcoin Diamond,BCD,https://coinmarketcap.com/currencies/bitcoin-diamond,$0.422521
Golem,GNT,https://coinmarketcap.com/currencies/golem-network-tokens,$0.074243
Orchid,OXT,https://coinmarketcap.com/currencies/orchid,$0.202127
Holo,HOT,https://coinmarketcap.com/currencies/holo,$0.000443
